item_no,series,product_name,material,size,packing,gross_weight,cbm,pdf_page,image,confidence
010101,Pliers Series,WISCUP,,6°/150MM,48/6,12,0.024,4,images/p004_c0_1.png,high
010102,Pliers Series,WISCUP,,7'/175MM,48/6,16.5,0.025,4,images/p004_c0_1.png,high
010103,Pliers Series,WISCUP,,"8""/200MM",48/6,19,0.032,4,images/p004_c0_1.png,high
010107,Pliers Series,Combination Pliers,Cr-V,6°/150MM,48/6,12,0.024,4,images/p004_c0_0.png,high
010108,Pliers Series,Combination Pliers,Cr-V,7'/175MM,48/6,16.5,0.025,4,images/p004_c0_0.png,high
010109,Pliers Series,Combination Pliers,Cr-V,"8""/200MM",48/6,19,0.032,4,images/p004_c0_0.png,high
010201,Pliers Series,Diagonal Cutting Pliers,Cr-V,6°/150MM,,12.5,0.025,4,images/p004_c1_3.png,high
010202,Pliers Series,Diagonal Cutting Pliers,Cr-V,"8""/200MM",48/6,13.5,0.031,4,images/p004_c1_3.png,high
010205,Pliers Series,Diagonal Cutting Pliers,Cr-V,"6""/150MM",48/6,12.5,0.025,4,images/p004_c1_2.png,high
010206,Pliers Series,Diagonal Cutting Pliers,Cr-V,"8""/200MM",48/6,13.5,0.031,4,images/p004_c1_2.png,high
010301,Pliers Series,Long Nose Pliers,Cr-V,6°/150MM,48/6,12.5,0.025,4,images/p004_c2_5.png,high
010302,Pliers Series,Long Nose Pliers,Cr-V,8°/200MM,48/6,13.5,0.031,4,images/p004_c2_5.png,high
010305,Pliers Series,Long Nose Pliers,Cr-V,"6""/150MM",48/6,12.5,0.02,4,images/p004_c2_4.png,high
010306,Pliers Series,Long Nose Pliers,Cr-V,"8""/200MM",48/6,13.5,0.024,4,images/p004_c2_4.png,high
010104,Pliers Series,Combination Pliers,Nickeling,6'/150MM,72/6,17,0.0375,5,images/p005_c0_0.png,high
010105,Pliers Series,Combination Pliers,Nickeling,7'/175MM,60/6,20,0.0225,5,images/p005_c0_0.png,high
010106,Pliers Series,Combination Pliers,Nickeling,"8""/200MM",48/6,18,0.026,5,images/p005_c0_0.png,high
010203,Pliers Series,uscup,,6°/150MM,72/6,18,0.03,5,images/p005_c1_2.png,high
010204,Pliers Series,uscup,,8°/200MM,48/6,18,0.026,5,images/p005_c1_2.png,high
010303,Pliers Series,Long Nose Pliers,Nickeling,6°/150MM,72/6,15,0.023,5,images/p005_c2_4.png,high
010304,Pliers Series,Long Nose Pliers,Nickeling,8°/200MM,48/6,12,0.02,5,images/p005_c2_4.png,high
010601,Pliers Series,Combination Pliers,Nickeling,6°/150MM,60/6,17.3,0.03,5,images/p005_c0_1.png,high
010602,Pliers Series,Combination Pliers,Nickeling,7°/175MM,48/6,17.7,0.03,5,images/p005_c0_1.png,high
010603,Pliers Series,Combination Pliers,Nickeling,"8""/200MM",48/6,20.6,0.0335,5,images/p005_c0_1.png,high
010604,Pliers Series,ENE000100V3,,6'/150MM,60/6,16.5,0.0335,5,images/p005_c1_3.png,high
010605,Pliers Series,ENE000100V3,,"8""/200MM",48/6,,0.0335,5,images/p005_c1_3.png,high
010606,Pliers Series,UNGCUP,,6°/150MM,60/6,14.6,0.032,5,images/p005_c2_5.png,high
010607,Pliers Series,UNGCUP,,8°/200MM,48/6,14.3,0.024,5,images/p005_c2_5.png,high
010701,Pliers Series,Combination Pliers,55#Steel,"4.5""/115MM",120/12,10,0.027,6,images/p006_c1_3.png,high
010702,Pliers Series,Long Nose Pliers,55#Steel,4.5/115MM,120/12,9.7,0.0265,6,images/p006_c2_5.png,high
010801,Pliers Series,Circlip Pliers,55#Steel,"7""/175MM",96/12,19,0.03,6,images/p006_c0_0.png,high
010802,Pliers Series,Circlip Pliers,55#Steel,"7""/175MM",96/12,19,0.03,6,images/p006_c1_2.png,high
010803,Pliers Series,Circlip Pliers,55#Steel,"7""/175MM",96/12,19,0.03,6,images/p006_c2_4.png,high
010804,Pliers Series,Circlip Pliers,55#Steel,"7""/175MM",96/12,19,0.03,6,images/p006_c0_1.png,high
010703,Pliers Series,Diagonal Cutting Pliers,55#Steel,"4.5""/115MM",,9.2,0.0265,7,images/p007_c0_0.png,high
010704,Pliers Series,End Cutting Pliers,55#Steel,"4.5""/115MM",,8.4,0.0265,7,images/p007_c1_2.png,high
012001,Pliers Series,3pcs Plier Set,55#Steel,"6""/ 6""/8""",,20.5,0.049,7,images/p007_c1_3.png,high
012003,Pliers Series,,55#Steel,"7""/175MM",,19,0.035,7,images/p007_c2_4.png,low
012005,Pliers Series,4pcs MiniPliersSet,55#Steel,4.5*/115MM,48/6,19.5,0.053,7,images/p007_c0_1.png,high
020101,Pliers Series,Sk-5,,215MM,,25,0.065,7,images/p007_c2_5.png,high
011001,Pliers Series,Water Pump Pliers,Cr-V,"7""/180MM",,15.7,0.012,8,images/p008_c1_3.png,high
011002,Pliers Series,Water Pump Pliers,Cr-V,"10""/250MM",60/6,17.7,0.025,8,images/p008_c1_3.png,high
011003,Pliers Series,Water Pump Pliers,Cr-V,"12""/300MM",36/6,23.2,0.025,8,images/p008_c1_3.png,high
011004,Pliers Series,Water Pump Pliers,Cr-V,"10""/250MM",36/6,21,0.016,8,images/p008_c2_5.png,high
012502,Pliers Series,WISEUR,,"1""/25MM",36/1,25.4,0.0294,8,images/p008_c0_1.png,high
012503,Pliers Series,WISEUR,,"1-1/2""/38MM",,27,0.0341,8,images/p008_c0_1.png,high
012504,Pliers Series,WISEUR,,"2""/50MM",12/1,20.8,0.0287,8,images/p008_c0_1.png,high
012505,Pliers Series,WISEUR,,"3""/75MM",6/1,15.8,0.024,8,images/p008_c0_1.png,high
020104,Pliers Series,Sk-5,,"8""/195MM",,19.5,0.066,8,images/p008_c0_0.png,high
020105,Pliers Series,Sk-5,,"8.5""/215MM",,15.5,0.051,8,images/p008_c1_2.png,high
020106,Pliers Series,30cr13,Stainless Steel,5.5°/140MM,120/12,11.5,0.055,8,images/p008_c2_4.png,high
011006,Pliers Series,LISCUP,,10/250MM,48/6,20,0.025,9,images/p009_c0_0.png,high
011007,Pliers Series,LISCUP,,"12""/300MM",36/6,21.7,0.028,9,images/p009_c0_0.png,high
011101,Pliers Series,Slip Joint Plier,Cr-V,"6""/150MM",60/6,13,0.03,9,images/p009_c1_2.png,high
011102,Pliers Series,Slip Joint Plier,Cr-V,"8""/200MM",,20,0.039,9,images/p009_c1_2.png,high
011301,Pliers Series,WISEUD,,"8""/200MM",60/6,21.5,0.031,9,images/p009_c2_5.png,high
011302,Pliers Series,WISEUD,,"9""/225MM",60/6,23.5,0.033,9,images/p009_c2_5.png,high
011401,Pliers Series,wSEuP,,"6""/150MM",,18,0.021,9,images/p009_c1_3.png,high
011402,Pliers Series,wSEuP,,7/175MM,,19,0.023,9,images/p009_c1_3.png,high
011403,Pliers Series,wSEuP,,"8""/200MM",,21,0.035,9,images/p009_c1_3.png,high
011501,Pliers Series,Punch Plier,Iron,"9""/230MM",24/6,11.3,0.023,9,images/p009_c2_4.png,high
011502,Pliers Series,Punch Plier,Iron,2-4.5MM,,11.3,0.028,9,images/p009_c0_1.png,high
010901,Pliers Series,WISCUP,,"5""/125MM",72/6,12.8,0.017,10,images/p010_c0_0.png,high
010902,Pliers Series,WISCUP,,"7""/175MM",48/6,18.4,0.02,10,images/p010_c0_0.png,high
010903,Pliers Series,WISCUP,,10*/250MM,36/6,20,0.024,10,images/p010_c0_0.png,high
010904,Pliers Series,C-type Locking Pliers,Cr-V,"11""/275MM",12/2,10.8,0.021,10,images/p010_c1_2.png,high
010905,Pliers Series,C-type Locking Pliers,Cr-V,"14""/350MM",12/2,12.9,0.0265,10,images/p010_c1_2.png,high
010907,Pliers Series,Long Nose Locking Plier,Cr-V,"9""225MM",60/6,18,0.023,10,images/p010_c2_4.png,high
010908,Pliers Series,Sheet Metal Locking Plier,Cr-V,"8""/200MM",,20,0.036,10,images/p010_c0_1.png,high
010911,Pliers Series,Welding Locking Plier,Cr-V,"10""/250MM",,18,0.049,10,images/p010_c1_3.png,high
010912,Pliers Series,Chain Type Locking Plier,Cr-V,"10""/250MM",,14,0.036,10,images/p010_c2_5.png,high
020102,Cutting Series,Multifunctional Scissors,Cr-V,"9""/230MM",72/12,20.7,0.037,11,images/p011_c0_1.png,high
020103,Cutting Series,Multifunctional Scissors,Cr-V,"9""/230MM",72/12,20.7,0.037,11,images/p011_c1_3.png,high
020301,Cutting Series,Aviation Snips S,Cr-V,10/250MM,36/6,16,0.04,11,images/p011_c0_0.png,high
020302,Cutting Series,Aviation Snips L,Cr-V,"10""/250MM",36/6,15.5,0.04,11,images/p011_c1_2.png,high
020303,Cutting Series,Aviation Snips R,Cr-V,"10""/250MM",36/6,15.5,0.04,11,images/p011_c2_4.png,high
020304,Cutting Series,Aviation Snips S,Cr-V,"12""/300MM",36/6,18,0.042,11,images/p011_c0_0.png,high
020401,Cutting Series,Tin Cutter,CR-V,"8""/200MM",48/6,16.3,0.033,11,images/p011_c2_5.png,high
020402,Cutting Series,Tin Cutter,CR-V,"10""/250MM",36/6,21,0.03,11,images/p011_c2_5.png,high
020403,Cutting Series,Tin Cutter,CR-V,"12""/300MM",36/6,25,0.034,11,images/p011_c2_5.png,high
011608,Wrench Series,Heavy Duty Pipe Wrench,Iron,"8""/200MM",60/6,24,0.017,12,images/p012_c2_5.png,high
011610,Wrench Series,Heavy Duty Pipe Wrench,Iron,10°/250MM,48/6,32,0.02,12,images/p012_c2_5.png,high
011612,Wrench Series,Heavy Duty Pipe Wrench,Iron,12°/300MM,36/6,33,0.019,12,images/p012_c2_5.png,high
011614,Wrench Series,Heavy Duty Pipe Wrench,Iron,14'/350MM,24/6,29.5,0.02,12,images/p012_c2_5.png,high
011618,Wrench Series,Heavy Duty Pipe Wrench,Iron,18°/450MM,16/4,30.5,0.02,12,images/p012_c2_5.png,high
011624,Wrench Series,Heavy Duty Pipe Wrench,Iron,24'/600MM,10/2,29,0.021,12,images/p012_c2_5.png,high
011636,Wrench Series,Heavy Duty Pipe Wrench,Iron,36°/900MM,6/2,31,0.027,12,images/p012_c2_5.png,high
011900,Wrench Series,Mini Bolt Cutter,Cr-V,"8""/200MM",60/10,20,0.038,12,images/p012_c1_2.png,high
011918,Wrench Series,Bolt Cutter,Cr-Mo,18°/450MM,12/1,18.6,0.031,12,images/p012_c2_4.png,high
011924,Wrench Series,Bolt Cutter,Cr-Mo,24/600MM,8/1,20.5,0.0365,12,images/p012_c2_4.png,high
011930,Wrench Series,Bolt Cutter,Cr-Mo,30°/750MM,5/1,20,0.032,12,images/p012_c2_4.png,high
011936,Wrench Series,Bolt Cutter,Cr-Mo,"36""/900MM",4/1,22.5,0.0325,12,images/p012_c2_4.png,high
011942,Wrench Series,Bolt Cutter,Cr-Mo,42°/1050MM,3/1,25.2,0.042,12,images/p012_c2_4.png,high
011948,Wrench Series,Bolt Cutter,Cr-Mo,48°/1200MM,2/1,20,0.027,12,images/p012_c2_4.png,high
020405,Wrench Series,Tin Cutter,CR-V,"10""/250MM",36/6,24,0.03,12,images/p012_c0_0.png,high
020406,Wrench Series,Tin Cutter,CR-V,"12""/300MM",36/6,27,0.045,12,images/p012_c0_0.png,high
020407,Wrench Series,Tin Cutter,CR-V,"8""/200MM",48/6,16.7,0.03,12,images/p012_c0_0.png,high
030102,Wrench Series,Adjustable Wrench,45Steel,"8""/200MM",60/6,16,0.012,12,images/p012_c1_3.png,high
030103,Wrench Series,Adjustable Wrench,45Steel,"10""/250MM",48/6,22,0.016,12,images/p012_c1_3.png,high
030104,Wrench Series,Adjustable Wrench,45Steel,"12""/300MM",,17,0.015,12,images/p012_c1_3.png,high
030105,Wrench Series,Adjustable Wrench,45Steel,"15""/375MM",,21,0.017,12,images/p012_c1_3.png,high
030108,Wrench Series,Adjustable Wrench,45Steel,"8""/200MM",,19.5,0.015,12,images/p012_c0_1.png,high
030109,Wrench Series,Adjustable Wrench,45Steel,10*/250MM,48/6,25,0.02,12,images/p012_c0_1.png,high
030110,Wrench Series,Adjustable Wrench,45Steel,"12""/300MM",24/6,19,0.017,12,images/p012_c0_1.png,high
030602,Wrench Series,Combination Spanner Set,Cr-V,,,20,0.029,13,images/p013_c0_0.png,high
030603,Wrench Series,8PCS,,,,10,0.021,13,images/p013_c0_0.png,high
030604,Wrench Series,10PCS,,,,10,0.032,13,images/p013_c0_0.png,high
030605,Wrench Series,12PCS,,,,10,0.027,13,images/p013_c0_0.png,high
030608,Wrench Series,Offset Ring Spanner Set,Cr-V,,,20,0.038,13,images/p013_c1_2.png,high
030614,Wrench Series,Double Open Spanner Set,Cr-V,,,20,0.023,13,images/p013_c2_4.png,high
030618,Wrench Series,Combination Spanner Set,Cr-V,,30/5,14,0.043,13,images/p013_c0_1.png,high
030619,Wrench Series,6PCS,,,,18.5,0.044,13,images/p013_c0_1.png,high
030620,Wrench Series,8PCS,,,,14,0.031,13,images/p013_c0_1.png,high
030622,Wrench Series,Offset Ring Spanner Set,Cr-V,,,20.5,0.05,13,images/p013_c1_3.png,high
030625,Wrench Series,Double Open Spanner Set,Cr-V,,20/5,17,0.036,13,images/p013_c2_5.png,high
030206,Wrench Series,Combination Spanner,,,,,,14,images/p014_c0_4.png,low
030208,Wrench Series,Spanner,,,,,,14,,low
030209,Wrench Series,Spanner,,,,,,14,,low
030210,Wrench Series,Spanner,,,,,,14,,low
030211,Wrench Series,Spanner,,,,,,14,,low
030212,Wrench Series,Spanner,,,,,,14,,low
030213,Wrench Series,Bend 45°,Cr-V,,,,,14,,low
030214,Wrench Series,Bend 45°,Cr-V,,,,,14,,low
030215,Wrench Series,Bend 45°,Cr-V,,,,,14,,low
030216,Wrench Series,Bend 45°,Cr-V,,,,,14,,low
030217,Wrench Series,Combination Spanner,,,,,,14,images/p014_c0_5.png,low
030218,Wrench Series,Spanner,,,,,,14,,low
030219,Wrench Series,Spanner,,,,,,14,,low
030221,Wrench Series,Spanner,,,,,,14,,low
030222,Wrench Series,Spanner,,,,,,14,,low
030224,Wrench Series,Spanner,,,,,,14,,low
030227,Wrench Series,Bend 45°,Cr-V,,,,,14,,low
030230,Wrench Series,Bend 45°,Cr-V,,,,,14,,low
030232,Wrench Series,Bend 45°,Cr-V,,,,,14,,low
030236,Wrench Series,Bend 45°,Cr-V,,,,,14,,low
030301,Wrench Series,,,,,,,14,,low
030302,Wrench Series,,,,,,,14,,low
030303,Wrench Series,,,,,,,14,,low
030304,Wrench Series,WRENCH SERIES,Cr-V,,,,,14,,low
030305,Wrench Series,WRENCH SERIES,Cr-V,,,,,14,,low
030306,Wrench Series,Double Open End Spanner,,,,,,14,images/p014_c0_0.png,low
030307,Wrench Series,Double Open End Spanner,,,,,,14,images/p014_c0_1.png,low
030308,Wrench Series,Double Open End Spanner,,,,,,14,images/p014_c0_0.png,low
030309,Wrench Series,,,,,,,14,,low
030310,Wrench Series,,,,,,,14,,low
030312,Wrench Series,,,,,,,14,,low
030313,Wrench Series,WRENCH SERIES,Cr-V,,,,,14,,low
030314,Wrench Series,WRENCH SERIES,Cr-V,,,,,14,,low
030316,Wrench Series,Double Open End Spanner,,,,,,14,images/p014_c0_1.png,low
030317,Wrench Series,,,,,,,14,,low
030318,Wrench Series,,,,,,,14,,low
030319,Wrench Series,,,,,,,14,,low
030320,Wrench Series,,,,,,,14,,low
030321,Wrench Series,,,,,,,14,,low
030322,Wrench Series,,,,,,,14,,low
030324,Wrench Series,WRENCH SERIES,Cr-V,,,,,14,,low
030325,Wrench Series,WRENCH SERIES,Cr-V,,,,,14,,low
030327,Wrench Series,WRENCH SERIES,Cr-V,,,,,14,,low
030330,Wrench Series,WRENCH SERIES,Cr-V,,,,,14,,low
030332,Wrench Series,WRENCH SERIES,Cr-V,,,,,14,,low
030401,Wrench Series,Spanner,,,,,,14,,low
030402,Wrench Series,Bend 45°,Cr-V,,,,,14,,low
030403,Wrench Series,Offset Ring,,,,,,14,images/p014_c0_3.png,low
030406,Wrench Series,Offset Ring,,,,,,14,images/p014_c0_2.png,low
030407,Wrench Series,Offset Ring,,,,,,14,images/p014_c0_2.png,low
030408,Wrench Series,Spanner,,,,,,14,,low
030409,Wrench Series,Spanner,,,,,,14,,low
030410,Wrench Series,Spanner,,,,,,14,,low
030411,Wrench Series,Spanner,,,,,,14,,low
030412,Wrench Series,Spanner,,,,,,14,,low
030413,Wrench Series,Bend 45°,Cr-V,,,,,14,,low
030414,Wrench Series,Bend 45°,Cr-V,,,,,14,,low
030415,Wrench Series,Bend 45°,Cr-V,,,,,14,,low
030416,Wrench Series,Offset Ring,,,,,,14,images/p014_c0_3.png,low
030417,Wrench Series,Spanner,,,,,,14,,low
030418,Wrench Series,Spanner,,,,,,14,,low
030419,Wrench Series,Spanner,,,,,,14,,low
030420,Wrench Series,Spanner,,,,,,14,,low
030421,Wrench Series,Spanner,,,,,,14,,low
030422,Wrench Series,Spanner,,,,,,14,,low
030424,Wrench Series,Bend 45°,Cr-V,,,,,14,,low
030425,Wrench Series,Bend 45°,Cr-V,,,,,14,,low
030427,Wrench Series,Bend 45°,Cr-V,,,,,14,,low
030430,Wrench Series,Bend 45°,Cr-V,,,,,14,,low
030432,Wrench Series,Bend 45°,Cr-V,,,,,14,,low
030240,Wrench Series,Combination S,,,,,,15,images/p015_c0_0.png,low
030241,Wrench Series,Combination S,,,,,,15,images/p015_c0_0.png,low
030242,Wrench Series,Spanner,,,,,,15,,low
030243,Wrench Series,Spanner,,,,,,15,,low
030244,Wrench Series,Spanner,,,,,,15,,low
030245,Wrench Series,Spanner,,,,,,15,,low
030246,Wrench Series,Spanner,,,,,,15,,low
030247,Wrench Series,,Cr-V,,,,,15,,low
030248,Wrench Series,,Cr-V,,,,,15,,low
030249,Wrench Series,,Cr-V,,,,,15,,low
030250,Wrench Series,Combination S,,,,,,15,images/p015_c0_1.png,low
030251,Wrench Series,Combination S,,,,,,15,images/p015_c0_1.png,low
030252,Wrench Series,Spanner,,,,,,15,,low
030253,Wrench Series,Spanner,,,,,,15,,low
030254,Wrench Series,Spanner,,,,,,15,,low
030255,Wrench Series,Spanner,,,,,,15,,low
030256,Wrench Series,Spanner,,,,,,15,,low
030257,Wrench Series,,Cr-V,,,,,15,,low
030258,Wrench Series,,Cr-V,,,,,15,,low
030259,Wrench Series,,Cr-V,,,,,15,,low
030260,Wrench Series,,Cr-V,,,,,15,,low
030706,Wrench Series,Ratchet Combination Spanner,,,,,,15,images/p015_c0_4.png,low
030707,Wrench Series,Ratchet Combination Spanner,,,,,,15,images/p015_c0_4.png,low
030708,Wrench Series,Spanner,,,,,,15,,low
030709,Wrench Series,Spanner,,,,,,15,,low
030710,Wrench Series,Spanner,,,,,,15,,low
030711,Wrench Series,Spanner,,,,,,15,,low
030712,Wrench Series,Spanner,,,,,,15,,low
030713,Wrench Series,,Cr-V,,,,,15,,low
030714,Wrench Series,,Cr-V,,,,,15,,low
030715,Wrench Series,,Cr-V,,,,,15,,low
030716,Wrench Series,,Cr-V,,,,,15,,low
030717,Wrench Series,,Cr-V,,,,,15,,low
030718,Wrench Series,Ratchet Combination Spanner,,,,,,15,images/p015_c0_5.png,low
030719,Wrench Series,Ratchet Combination Spanner,,,,,,15,images/p015_c0_5.png,low
030720,Wrench Series,Spanner,,,,,,15,,low
030721,Wrench Series,Spanner,,,,,,15,,low
030722,Wrench Series,Spanner,,,,,,15,,low
030723,Wrench Series,Spanner,,,,,,15,,low
030724,Wrench Series,Spanner,,,,,,15,,low
030725,Wrench Series,,Cr-V,,,,,15,,low
030726,Wrench Series,,Cr-V,,,,,15,,low
030727,Wrench Series,,Cr-V,,,,,15,,low
030728,Wrench Series,,Cr-V,,,,,15,,low
030729,Wrench Series,,Cr-V,,,,,15,,low
031306,Wrench Series,Ratchet Combination Spanner,,,,,,15,images/p015_c0_2.png,low
031307,Wrench Series,Ratchet Combination Spanner,,,,,,15,images/p015_c0_2.png,low
031308,Wrench Series,Spanner,,,,,,15,,low
031309,Wrench Series,Spanner,,,,,,15,,low
031310,Wrench Series,Spanner,,,,,,15,,low
031311,Wrench Series,Spanner,,,,,,15,,low
031312,Wrench Series,Spanner,,,,,,15,,low
031313,Wrench Series,,Cr-V,,,,,15,,low
031314,Wrench Series,,Cr-V,,,,,15,,low
031315,Wrench Series,,Cr-V,,,,,15,,low
031316,Wrench Series,,Cr-V,,,,,15,,low
031317,Wrench Series,,Cr-V,,,,,15,,low
031318,Wrench Series,Ratchet Combination Spanner,,,,,,15,images/p015_c0_3.png,low
031319,Wrench Series,Ratchet Combination Spanner,,,,,,15,images/p015_c0_3.png,low
031320,Wrench Series,Spanner,,,,,,15,,low
031321,Wrench Series,Spanner,,,,,,15,,low
031322,Wrench Series,Spanner,,,,,,15,,low
031323,Wrench Series,Spanner,,,,,,15,,low
031324,Wrench Series,Spanner,,,,,,15,,low
031325,Wrench Series,,Cr-V,,,,,15,,low
031326,Wrench Series,,Cr-V,,,,,15,,low
031327,Wrench Series,,Cr-V,,,,,15,,low
031328,Wrench Series,,Cr-V,,,,,15,,low
031329,Wrench Series,,Cr-V,,,,,15,,low
031208,Wrench Series,,,,,,,16,images/p016_c0_2.png,low
031209,Wrench Series,,,,,,,16,,low
031210,Wrench Series,,,,,,,16,,low
031211,Wrench Series,,,,,,,16,,low
031212,Wrench Series,,,,,,,16,,low
031213,Wrench Series,,,,,,,16,,low
031214,Wrench Series,WRENCH SERIES,Cr-V,,,,,16,,low
031215,Wrench Series,WRENCH SERIES,Cr-V,,,,,16,,low
031216,Wrench Series,WRENCH SERIES,Cr-V,,,,,16,,low
031217,Wrench Series,,,,,,,16,,low
031218,Wrench Series,,,,,,,16,,low
031220,Wrench Series,,,,,,,16,,low
031221,Wrench Series,,,,,,,16,,low
031222,Wrench Series,,,,,,,16,,low
031223,Wrench Series,,,,,,,16,,low
031224,Wrench Series,WRENCH SERIES,Cr-V,,,,,16,,low
031227,Wrench Series,WRENCH SERIES,Cr-V,,,,,16,,low
031230,Wrench Series,WRENCH SERIES,Cr-V,,,,,16,,low
031232,Wrench Series,WRENCH SERIES,Cr-V,,,,,16,,low
031906,Wrench Series,,,,,,,16,images/p016_c0_4.png,low
031907,Wrench Series,L Type Wrench With Hole,,,,,,16,,low
031908,Wrench Series,L Type Wrench With Hole,,,,,,16,,low
031909,Wrench Series,L Type Wrench With Hole,,,,,,16,,low
031910,Wrench Series,L Type Wrench With Hole,,,,,,16,,low
031911,Wrench Series,L Type Wrench With Hole,,,,,,16,,low
031912,Wrench Series,WRENCH SERIES,Cr-V,,,,,16,,low
031913,Wrench Series,WRENCH SERIES,Cr-V,,,,,16,,low
031914,Wrench Series,WRENCH SERIES,Cr-V,,,,,16,,low
031915,Wrench Series,,,,,,,16,images/p016_c0_5.png,low
031916,Wrench Series,L Type Wrench With Hole,,,,,,16,,low
031917,Wrench Series,L Type Wrench With Hole,,,,,,16,,low
031918,Wrench Series,L Type Wrench With Hole,,,,,,16,,low
031919,Wrench Series,L Type Wrench With Hole,,,,,,16,,low
031920,Wrench Series,L Type Wrench With Hole,,,,,,16,,low
031921,Wrench Series,WRENCH SERIES,Cr-V,,,,,16,,low
031922,Wrench Series,WRENCH SERIES,Cr-V,,,,,16,,low
031923,Wrench Series,WRENCH SERIES,Cr-V,,,,,16,,low
031924,Wrench Series,WRENCH SERIES,Cr-V,,,,,16,,low
032408,Wrench Series,,,,,,,16,images/p016_c0_0.png,low
032409,Wrench Series,,,,,,,16,,low
032410,Wrench Series,,,,,,,16,,low
032411,Wrench Series,,,,,,,16,,low
032412,Wrench Series,,,,,,,16,,low
032413,Wrench Series,WRENCH SERIES,Cr-V,,,,,16,,low
032414,Wrench Series,WRENCH SERIES,Cr-V,,,,,16,,low
032415,Wrench Series,WRENCH SERIES,Cr-V,,,,,16,,low
032416,Wrench Series,,,,,,,16,images/p016_c0_1.png,low
032419,Wrench Series,,,,,,,16,,low
032420,Wrench Series,,,,,,,16,,low
032421,Wrench Series,WRENCH SERIES,Cr-V,,,,,16,,low
032422,Wrench Series,WRENCH SERIES,Cr-V,,,,,16,,low
032430,Wrench Series,WRENCH SERIES,Cr-V,,,,,16,,low
032432,Wrench Series,WRENCH SERIES,Cr-V,,,,,16,,low
030501,Wrench Series,Extension Bar,Cr-V,,12/6,17.7,0.02,17,images/p017_c0_1.png,high
030502,Wrench Series,L Handle Wrench,Cr-V,,12/6,14.3,0.019,17,images/p017_c1_3.png,high
030503,Wrench Series,Sliding Bar,Cr-V,,,21,0.035,17,images/p017_c2_5.png,high
030901,Wrench Series,L Handle Wrench,Cr-V,"10""/250MM",48/24,22,0.023,17,images/p017_c1_2.png,high
030902,Wrench Series,L Handle Wrench,Cr-V,"12""/300MM",48/24,25.6,0.024,17,images/p017_c1_2.png,high
031802,Wrench Series,Extension Bar,Cr-V,"5""/75MM",96/48,20.6,0.03,17,images/p017_c0_0.png,high
031803,Wrench Series,Extension Bar,Cr-V,"10""/250MM",48/24,25.6,0.015,17,images/p017_c0_0.png,high
032001,Wrench Series,Sliding Bar,Cr-V,10*/250MM,,17.3,0.022,17,images/p017_c2_4.png,high
030504,Wrench Series,ISEUP,Cr-V,,20/10,16,0.035,18,images/p018_c0_0.png,high
031132,Wrench Series,Ring Slogging Wrench,Cr-V,32MM,,40,0.01,18,images/p018_c2_4.png,high
031136,Wrench Series,Ring Slogging Wrench,Cr-V,36MM,,20,0.006,18,images/p018_c2_4.png,high
031141,Wrench Series,Ring Slogging Wrench,Cr-V,41MM,,20,0.008,18,images/p018_c2_4.png,high
031146,Wrench Series,Ring Slogging Wrench,Cr-V,46MM,,20,0.011,18,images/p018_c2_4.png,high
031150,Wrench Series,Ring Slogging Wrench,Cr-V,50MM,,12,0.008,18,images/p018_c2_4.png,high
031401,Wrench Series,Ratchet Wrench,Cr-V,1/2′-12.5MM,,15.5,0.018,18,images/p018_c1_3.png,high
031410,Wrench Series,Gear Socket Wrench,Cr-V,19*21MM,,22,0.046,18,images/p018_c0_1.png,high
031411,Wrench Series,Gear Socket Wrench,Cr-V,21*23MM,,23,0.047,18,images/p018_c0_1.png,high
031601,Wrench Series,Universal Wrench,55#Steel,,,17,0.03,18,images/p018_c2_5.png,high
061601,Wrench Series,Spark Plug Wrench,Cr-V,14MM,,10.6,0.0153,18,images/p018_c1_2.png,high
061602,Wrench Series,Spark Plug Wrench,Cr-V,16MM,48/12,13.7,0.044,18,images/p018_c1_2.png,high
061603,Wrench Series,Spark Plug Wrench,Cr-V,21MM,48/12,15.4,0.044,18,images/p018_c1_2.png,high
032108,Wrench Series,T-type Wrench,Cr-V,8MM,,28.5,0.05,19,images/p019_c0_0.png,high
032110,Wrench Series,T-type Wrench,Cr-V,10MM,,29,0.05,19,images/p019_c0_0.png,high
032112,Wrench Series,T-type Wrench,Cr-V,12MM,,31.5,0.05,19,images/p019_c0_0.png,high
032114,Wrench Series,T-type Wrench,Cr-V,14MM,,32.5,0.05,19,images/p019_c0_0.png,high
032212,Wrench Series,Y-type Wrench,Cr-V,8*10*12,80/20,24,0.06,19,images/p019_c1_2.png,high
032214,Wrench Series,Y-type Wrench,Cr-V,10*12°14,80/20,27.5,0.06,19,images/p019_c1_2.png,high
063001,Wrench Series,Cross Wrench,Cr-V,"14""/350MM",10/1,12.7,0.017,19,images/p019_c2_4.png,high
063008,Wrench Series,Cross Wrench,Cr-V,"18""/450MM",,16.4,0.027,19,images/p019_c0_1.png,high
063201,Wrench Series,Strap Pipe Wrench,Cr-V,"9""/225MM",60/6,12,0.052,19,images/p019_c1_3.png,high
063202,Wrench Series,Chain Pipe Wrench,Cr-V,"9""/225MM",60/6,12,0.051,19,images/p019_c2_5.png,high
030627,Wrench Series,S Type Double Ring Spanner,Cr-V,,30/10,18,0.031,21,images/p021_c1_3.png,high
